Title,Address,Type,Area,Price
" DUY NHẤT 5 LÔ SUẤT NGOẠI GIAO, GIÁ CỰC TỐT TỪ CĐT, KĐT DRAGON CITY PART, TÂM ĐIỂM ĐẤT NỀN ĐÀ NẴNG", Liên Chiểu,Bán đất nền dự án,150,2400.0
 Bán lô duy nhất đường 10m5 ngay trung tâm TP Đà Nẵng giá rẻ đầu tư,"Phường Hòa Xuân,  Cẩm Lệ",Bán đất,100,7300.0
 Bán nhà khu khu trung tâm biển Mỹ Khê,"Phường An Hải Đông,  Sơn Trà",Bán nhà riêng,190,
 Cần bán 1 số lô đất đẹp khu vực biển và ven biển Thành phố Đà Nẵng,"Phường  An Hải Bắc,  Sơn Trà",Bán đất,205,48175000.0
" ĐẤT NỀN DỰ ÁN DRAGON CITY PARK - ĐÀ NẴNG ,GIÁ TRỰC TIẾP CHỦ ĐẦU TƯ , CHỈ TỪ 2.03 TỶ/LÔ", Liên Chiểu,Bán đất nền dự án,100,2029.9999999999998
" Đất Nam Đà Nẵng, cam kết rẻ nhất thị trường, 10 lô cuối cùng ưu đãi từ chủ đầu tư. LH: 0905789970","Phường Hòa Hải,  Ngũ Hành Sơn",Bán đất,100,2000.0
 Cần bán gấp nhà 4 tầng MT Huỳnh Tấn Phát gần Tố Hữu,"Phường Khuê Trung,  Cẩm Lệ",Bán nhà mặt phố,102,13900.0
" Sở hữu đất nền tự xây - phân khu Đầm Sen KĐT Nam Hòa Xuân, Tp. Đà Nẵng","Phường Hòa Quý,  Ngũ Hành Sơn",Bán đất nền dự án,100,4100.0
" SunGroup - Mở bán đợt 1 lô đất nền trung tâm Đà Nẵng, chiết khấu bỏng tay lên đến 8%","Phường Hòa Quý,  Ngũ Hành Sơn",Bán đất nền dự án,100,5000.0
" Chỉ với 1,5 tỷ sở hữu đất nền SunGroup ngay trung tâm TP Đà Nẵng cách biển 5km","Phường Hòa Quý,  Ngũ Hành Sơn",Bán đất nền dự án,100,4300000.0
" Bán đất ven biển Nam Đà Nẵng, giá ưu đãi 24tr/m2. LH 0397890911","Phường Hòa Quý,  Ngũ Hành Sơn",Bán đất,220,5280.0
 Mở bán đất nền khu R3 ven sông Cổ Cò - FPT Đà Nẵng - chiết khấu khủng - tặng vàng,"Phường Hòa Hải,  Ngũ Hành Sơn",Bán đất nền dự án,102,4000.0
" Chính thức nhận booking siêu phẩm Sunneva Island vị trí độc tôn tàng phong tụ thủy, LH: 0388768585","Phường Hòa Quý,  Ngũ Hành Sơn","Bán nhà biệt thự, liền kề",240,25440000.0
 Mở bán chính thức phân khu Đầm Sen - Nam Hòa Xuân - tập đoàn SunGroup,"Phường Hòa Quý,  Ngũ Hành Sơn",Bán đất nền dự án,100,4600000.0
" Bán đất đường Dương Đình Nghệ, An Hải Bắc, Sơn Trà, Đà Nẵng mặt tiền 10m. Hướng Đông Bắc","Phường  An Hải Bắc,  Sơn Trà",Bán đất,175,
" Bán 3 căn nhà liền kề vị trí vip nhất khu vực Hoàng Trung Thông, quận Liên Chiểu tiện kinh doanh","Phường Hòa Minh,  Liên Chiểu",Bán nhà riêng,300,22000.0
 Bán nhà biệt thự Marina Complex view sông Hàn 144m2 nội thất đầy đủ. LH: 0703334343,"Phường Nại Hiên Đông,  Sơn Trà","Bán nhà biệt thự, liền kề",144,14500.0
 Nhận booking siêu biệt thự tỷ phú Đà Nẵng - Sunneva Island - Vị trí kim cương đẳng cấp thượng lưu,"Phường Hòa Quý,  Ngũ Hành Sơn","Bán nhà biệt thự, liền kề",300,
 Lô Đất 2 làn đường rẻ bất ngờ khu Sơn Trà,"Phường Nại Hiên Đông,  Sơn Trà",Bán đất,90,5200.0
 Cần bán nhà 2 mê kiên cố mặt tiền Đặng Tất,"Phường Hòa Khánh Nam,  Liên Chiểu",Bán nhà riêng,81,4600.0
 BÁN ĐẤT TRUNG TÂM THÀNH PHỐ ĐÀ NẴNG CHỈ TỪ 2TỶ2/NỀN LH NGAY SỐ LƯỢNG CÓ HẠN,"Phường Hòa Hiệp Nam,  Liên Chiểu",Bán đất nền dự án,100,
 Bán siêu phẩm biệt thự trung tâm thành phố - LH: 0932560868, Hải Châu,"Bán nhà biệt thự, liền kề",700,
 CẦN BÁN GẤP CĂN 2 MẶT TIỀN ĐƯỜNG PHAN CHÂU TRINH ĐÀ NẴNG,"Phường  Hải Châu I,  Hải Châu",Bán nhà riêng,250,70000.0
" MONARCHY 2 PHÒNG NGỦ, DIỆN TÍCH LÊN ĐẾN 85M2 CẦN BÁN - HỖ TRỢ VAY NGÂN HÀNG - LH: 0794904579", Sơn Trà,Bán căn hộ chung cư,85,2650.0
 Đi Định Cư Nước Ngoài- Bán Gấp Nhà 2 Mặt Tiền Trung Tâm Thành Phố Đà Nẵng,"Phường Thạch Thang,  Hải Châu",Bán nhà mặt phố,70,18000.0
" Bán nhà ngay mặt tiền đường Hoài Thanh, NHS","Phường Mỹ An,  Ngũ Hành Sơn",Bán nhà riêng,79.4,6500.0
" Bán gấp khách sạn 4 sao biển Mỹ Khê, Quận Ngũ Hành Sơn","Phường Mỹ An,  Ngũ Hành Sơn",Bán nhà mặt phố,294,150000.0
" Bán đất mặt tiền đường 2 tháng 9, Quận Hải Châu. DT: 560m2","Phường Hòa Cường Bắc,  Hải Châu",Bán đất,560,34000.0
 Bán gấp lô đất sát Trường Đại học Mỹ Thái Bình Dương giá sập hầm,"Phường Hòa Hải,  Ngũ Hành Sơn",Bán đất,150,2450.0
" Bán khách sạn 4 sao MT đường Nguyễn Văn Thoại, Q. Ngũ Hành Sơn","Phường Mỹ An,  Ngũ Hành Sơn",Bán nhà mặt phố,294,135000.0
" Duy nhất 1 vài lô giá tốt nhất thị trường, đường 7,5m, DT: 125m2 (5x25m) giá 1,9 tỷ","Phường Hòa Hiệp Nam,  Liên Chiểu",Bán đất nền dự án,125,2100.0
 Bán Biệt Thự 1 Phòng Ngủ dự án Fusion Villa Đà Nẵng, Ngũ Hành Sơn,"Bán nhà biệt thự, liền kề",370,14000.0
" Cần bán gấp khách sạn mặt tiền Võ Nguyên Giáp view biển 7,5 tầng, giá thấp nhất thị trường 36 tỷ","Phường Phước Mỹ,  Sơn Trà",Bán nhà mặt phố,140,36000.0
" Chính chủ cần bán gấp khách sạn 7 tầng trung tâm phố Hàn cách biển Mỹ Khê 400m, giá 13,5 tỷ","Phường Phước Mỹ,  Sơn Trà",Bán nhà mặt phố,76.5,13500.0
 Vốn 1.3 tỷ sở hữu căn hộ cao cấp 2 phòng ngủ ven biển Mỹ Khê - 01 suất ưu đãi CK 14% + 300 triệu,"Phường  Khuê Mỹ,  Ngũ Hành Sơn",Bán căn hộ chung cư,105.5,
" Lô đất biệt thự 2 MT khu đô thị Nam Việt Á, Đà Nẵng giá chưa đến 45 tr/m2 (rẻ sập sàn)","Phường  Khuê Mỹ,  Ngũ Hành Sơn",Bán đất nền dự án,488.9,25700.0
" Cần bán nhanh trong tuần 1 cặp đường Nguyễn Xiển, khu bãi tắm Sơn Thuỷ, giá rẻ nhất thị trường","Phường  Khuê Mỹ,  Ngũ Hành Sơn",Bán đất,195,
 Giữ chỗ có hoàn lại dự án căn hộ mặt biển ưu tiên người có hộ khẩu Đà Nẵng được chiết khấu ngay 1%, Ngũ Hành Sơn,Bán căn hộ chung cư,50,2950000.0
 Sở hữu lô đất 2 mặt tiền đường Đoàn Khuê. Giá bán chính chủ hấp dẫn,"Phường  Khuê Mỹ,  Ngũ Hành Sơn",Bán đất nền dự án,300,
" Bán khách sạn đường Võ Nguyên Giáp khu vực sầm uất nhất Đà Nẵng, lh: 0932560868","Phường Phước Mỹ,  Sơn Trà",Bán nhà mặt phố,595,280000.0
 Nhanh tay sở hữu lô góc 2 mặt tiền đẳng cấp. Đường Bùi Tá Hán giao với Khu Nam Việt Á,"Phường  Khuê Mỹ,  Ngũ Hành Sơn",Bán đất nền dự án,300,
" Bán đất hai mặt tiền đường Phạm Văn Đồng và Đinh Thị Hòa, DT 563m2 vị trí đẹp - 0932560868","Phường  An Hải Bắc,  Sơn Trà",Bán đất,563,
" Bán đất Biển Nguyễn Tất Thành, Liên Chiểu, Tp Đà Nẵng, 80m2, Chủ giảm còn 2.25 tỷ", Liên Chiểu,Bán đất,80,2250.0
" Cần bán tòa căn hộ đẹp 10x18,5 xây 4 tầng có 13 căn hộ 1 PN đang full khách","Phường  Khuê Mỹ,  Ngũ Hành Sơn",Bán nhà mặt phố,185,14800.0
" Bán gấp 3 lô đất Trần Hưng Đạo, Sơn Trà đối diện khu phức hợp TM Mornarchy, ngay cổng Euro Villa I","Phường An Hải Tây,  Sơn Trà",Bán đất,300,45000000.0
" Chính chủ bán lô đất biển đẹp 2 mặt tiền Đà Nẵng, đối diện bãi tắm Non Nước, các resort 5 sao","Phường Hòa Hải,  Ngũ Hành Sơn",Bán đất,105,
" Bán nhà kiệt 71/4/4 Tôn Đản, Cẩm Lệ. Giá chỉ: 2 tỷ, liên hệ: 0903532339","Phường Hòa An,  Cẩm Lệ",Bán nhà riêng,61,2000.0
 Chính thức mở bán - cực phẩm đất nền 23tr/m2 còn sót tại thành phố Đà Nẵng - dự án Dragon City Park, Liên Chiểu,Bán đất nền dự án,100,2300000.0
" Tôi chính chủ cần bán lô TĐC Hoà Liên 3 - 128m2. Giá chỉ 1,75 tỷ","Xã Hòa Liên,  Hòa Vang",Bán đất,128,1750.0
" Bán lô đất biệt thự 330m2 đường Vùng Trung 10, khu đô thị Phú Mỹ An, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng","Phường Hòa Hải,  Ngũ Hành Sơn",Bán đất nền dự án,330,8900.0
" Bán biệt thự biển Mỹ Khê, Sơn Trà, lô góc 2 mặt tiền, 165m2, chỉ 12 tỷ (có bớt)","Phường Phước Mỹ,  Sơn Trà",Bán nhà riêng,165,12000.0
 Siêu phẩm biệt thự ven sông tại đảo Kim Cương - Đà Nẵng. Siêu phẩm không dành cho số đông,"Phường Hòa Quý,  Ngũ Hành Sơn","Bán nhà biệt thự, liền kề",300,
" Chính chủ bán gấp lô đất ven biển Nam Đà Nẵng - Đường Trường Sa nối dài, giá sập hầm","Phường Hòa Hải,  Ngũ Hành Sơn",Bán đất,100,
" Bán đất 600m2 lô góc Trần Hưng Đạo, Sơn Trà trung tâm tài chính hơn 100 tỷ","Phường Phước Mỹ,  Sơn Trà",Bán đất,600,120000.0
 Lô đất đối diện trường đại học FPT giá sập hầm. Gọi ngay 0983115118,"Phường Hòa Hải,  Ngũ Hành Sơn",Bán đất,102,2750.0
 Cực hot! Sun Group tung 30 lô đất nền giá gốc khu Đầm Sen Nam Hoà Xuân Đà Nẵng - Vị trí sát sông,"Phường Hòa Quý,  Ngũ Hành Sơn",Bán đất nền dự án,100,4500.0
 Chính chủ cần sang lại căn hộ ở gần chợ Âu Cơ - Thiết kế đẹp và vuông vức - View biển mát mẻ,"Phường Hòa Khánh Bắc,  Liên Chiểu",Bán căn hộ chung cư,72,
" Bán Sunneva Lsland. Quần thể đô thị 26ha chỉ 387 căn biệt thự song lập và đơn lập, sở hữu lâu dài","Phường Hòa Quý,  Ngũ Hành Sơn","Bán nhà biệt thự, liền kề",350,
" Nợ ngân hàng cần tiền thanh khoản căn shophouse đường Mê Linh 33m, nhà 3,5 tầng, chỉ 4,4 tỷ sổ hồng","Phường Hòa Hiệp Nam,  Liên Chiểu","Bán shophouse, nhà phố thương mại",105,4400.0
" Bán đất đường Trần Sâm gần trung tâm thành phố, gần biển","Phường Thọ Quang,  Sơn Trà",Bán đất,180,7500.0
" Tổng hợp 22 lô đất khu Nam Việt Á ven sông Hàn, quận Ngũ Hành Sơn","Phường  Khuê Mỹ,  Ngũ Hành Sơn",Bán đất nền dự án,90,3850.0
" Căn hộ đà nẵng chỉ 1,5 tỷ (30%) view biển - LH: 0934.571.866","Phường  Khuê Mỹ,  Ngũ Hành Sơn",Bán căn hộ chung cư,82,4800.0
" Bán biệt thự, townhouse tại dự án Sunneva Island","Phường Hòa Quý,  Ngũ Hành Sơn","Bán nhà biệt thự, liền kề",146,34000.0
 Bán 06 lô đất ngoại giao độc quyền KĐT Dragon City Park Đà Nẵng cách biển 1km 10 phút vào trung tâm, Liên Chiểu,Bán đất nền dự án,90,2200.0
" Cần bán ngay sổ hồng trao tay chỉ cần 1,5 tỷ sở hữu ngay. NH hỗ trợ vay 80% ở trung tâm Đà Nẵng","Phường Hòa Quý,  Ngũ Hành Sơn",Bán đất nền dự án,100,4600000.0
" Lô đất 2 mặt kiệt Tô Hiệu thông ra Nam Trân, kiệt rộng 7m và 4m đậu đỗ ô tô qua đêm","Phường Hòa Minh,  Liên Chiểu",Bán đất,75,2750.0
" Bán 05 lô đất KĐT Dragon City Park, giá 2.05 tỷ, rẻ 200 triệu, cách biển 1km trung tâm 10 phút", Liên Chiểu,Bán đất nền dự án,100,2050.0
 Siêu phẩm Sunneva Island đẳng cấp nhất TP Đà Nẵng biệt thự Đảo Kim Cương. Nhanh tay sở hữu ngay,"Phường Hòa Quý,  Ngũ Hành Sơn","Bán nhà biệt thự, liền kề",300,
" Lô đất biệt thự 2 mặt tiền Euro Village - Làng Châu Âu, Quận Sơn Trà. Lh: 0926387979","Phường An Hải Tây,  Sơn Trà",Bán đất nền dự án,320,
" Phú Mỹ An: CĐT ra mắt 10 lô ngoại giao bảng hàng vip, giá chỉ từ 33 triệu/m2, sổ đỏ công chứng","Phường Hòa Hải,  Ngũ Hành Sơn",Bán đất nền dự án,100,3300000.0
 Căn hộ Indochina Riverside Towers sở hữu lâu dài - có chỗ đậu xe ô tô dưới hầm,"Phường Bình Hiên,  Hải Châu",Bán căn hộ chung cư,100,5900.0
 Siêu phẩm 5 tầng kiệt ô tô trải nhựa Điện Biên Phủ,"Phường Chính Gián,  Thanh Khê",Bán nhà riêng,50.5,4650.0
 Felicia Đà Nẵng - căn hộ mặt biển Mỹ Khê đáng đầu tư nhất năm 2022, Ngũ Hành Sơn,Bán căn hộ chung cư,56,
 Sun group mở bán đất nền Cồn Dầu - Quỹ đất vàng cuối cùng sát lõi TTTP Đà Nẵng,"Phường Hòa Xuân,  Cẩm Lệ",Bán đất nền dự án,100,
" Bán đất khu Đầm Sen - Nam Hòa Xuân giá gốc chủ đầu tư, nhận đặt giữ chỗ","Phường Hòa Xuân,  Cẩm Lệ",Bán đất nền dự án,100,5000.0
 Dự án Sun Group hot nhất tại Đà Nẵng - Suneva Island - BDS vị trí đảo Kim Cương trung tâm Đà Nẵng,"Phường Hòa Quý,  Ngũ Hành Sơn","Bán nhà biệt thự, liền kề",530,
 Mở bán đất nền Nam Hòa Xuân - Đầm Sen của chủ đầu tư Sun Group,"Phường Hòa Xuân,  Cẩm Lệ",Bán đất nền dự án,100,5000.0
" Đối diện trường mầm non quốc tế, đất biển số 79 Vũ Đình Long, Thọ Quang, giá bán: 4.95 tỷ (TL nhẹ)","Phường Thọ Quang,  Sơn Trà",Bán đất,85,4950.0
 Chính chủ cần nhượng lại lô đất đẹp B2 - 119.15 đối diện đại học FPT. Lh: 0905131368,"Phường Hòa Hải,  Ngũ Hành Sơn",Bán đất nền dự án,108,
" Chính chủ bán lô góc 2 mặt tiền B2,37,422 dự án Dragon Smart City cách dự án biển Nam Ô 800m","Phường Hòa Hiệp Nam,  Liên Chiểu",Bán đất nền dự án,184,5336000.0
" Bán đất đường Hoàng Văn Thụ, vị trí đẹp, gần Bạch Đằng, cầu Rồng, Nguyễn Văn Linh LH: 0932560868","Phường Phước Ninh,  Hải Châu",Bán đất,380.4,56000.0
 Mở bán giai đoạn 2 dự án Fusion Resort & Villas Đà Nẵng. 20 suất ngoại giao ưu đãi giá tốt nhất,"Phường Hòa Hải,  Ngũ Hành Sơn","Bán nhà biệt thự, liền kề",370,14200.0
" Chào bán đất biệt thự Euro Village 2 view sông Hàn, giá rẻ nhất thị trường 7x triệu/m2","Phường Hòa Xuân,  Cẩm Lệ",Bán đất nền dự án,300,19500000.0
" Bán khu trang trại sinh thái rộng gần 4ha sổ đỏ công chứng ngay chỉ có 350 nghìn/m2, giá đầu tư","Xã Hòa Ninh,  Hòa Vang","Bán trang trại, khu nghỉ dưỡng",40000,
" Bán căn hộ cư Đà Nẵng Plaza đường Trần Phú, 2 PN, giá chỉ 2.6 tỷ","Phường Thạch Thang,  Hải Châu",Bán căn hộ chung cư,80,2600.0
" Bán 5 căn hộ tầng 11 chung cư thương mại Hoà Khánh, loại 2PN, 67m - 77m2 có 650tr là mua được","Phường Hòa Hiệp Bắc,  Liên Chiểu",Bán căn hộ chung cư,77,1200.0
" Bán đất nền Đầm Sen - Hoà Xuân giá chỉ 29,1 triệu/m2","Phường Hòa Xuân,  Cẩm Lệ",Bán đất nền dự án,129,3753900.0
" Bán homestay đang cho thuê trung tâm Đà Nẵng, Hải Châu, đường Đống Đa, 432m2 sàn","Phường Thuận Phước,  Hải Châu",Bán nhà riêng,105,9500.0
" Chính chủ bán 3 lô đất nền liền kề nhau, giá tốt hướng Đông sổ hồng chính chủ LH 0913425411","Phường Hòa Xuân,  Cẩm Lệ",Bán đất,122.5,
" Giá tốt nhất thị trường chỉ 20 tr/m2 bán lô đất tại KĐT Dragon Smart City P. Hòa Hiệp Nam, Đã Nẵng", Liên Chiểu,Bán đất nền dự án,163,3260000.0
