Title,Address,Type,Area,Price
 Bán nhà chính chủ MT ngang 14m đường Hải Phòng,"Đường Hải Phòng, Phường Tân Chính, Thanh Khê, Đà Nẵng",Loại tin đăng: Bán nhà mặt phố,214 m²,Thỏa thuận
 Nhà phố hạng sang Regal Pavillon 6 sao trung tâm Quận Hải Châu Đà Nẵng chỉ duy nhất 2 căn cuối cùng,"Dự án Regal Pavillon Đà Nẵng, Đường Quy Mỹ, Phường Hòa Cường Nam, Hải Châu, Đà Nẵng",Loại tin đăng: Bán nhà mặt phố,120 m²,19 tỷ
 Chính thức mở bán 46 căn biệt thự biển Đà Nẵng Fusion Resort & Villas với mức giá vô cùng ấn tượng!,"Dự án Fusion Resort & Villas Da Nang, Ngũ Hành Sơn, Đà Nẵng","Loại tin đăng: Bán nhà biệt thự, liền kề",370 m²,14.6 tỷ
" Hot! Bán đất nền đường Cồn Dầu, Lê Quảng Chí KĐT Hòa Xuân - Đà Nẵng sổ đỏ sẵn - CĐT Sun Group CK 8%","Dự án KĐT Hòa Xuân mở rộng, Đường Cồn Dầu 1, Phường Hòa Xuân, Cẩm Lệ, Đà Nẵng",Loại tin đăng: Bán đất nền dự án,100 m²,4.3 tỷ
" Đang hot đất nền trung tâm Đà Nẵng, gần biển của chủ đầu tư Sun Group, chỉ 240 lô cuối cùng","Dự án Han River Village (Nam Hòa Xuân), Phường Hòa Quý, Ngũ Hành Sơn, Đà Nẵng",Loại tin đăng: Bán đất nền dự án,100 m²,4.5 tỷ
 Bán villa 5 sao đẳng cấp đầu tiên tại TP Đà Nẵng chỉ cần (10 tỷ) 30%. Sổ hồng sở hữu lâu dài,"Dự án Sunneva Island, Đường Minh Mạng, Phường Hòa Quý, Ngũ Hành Sơn, Đà Nẵng","Loại tin đăng: Bán nhà biệt thự, liền kề",300 m²,Thỏa thuận
" SunGroup mở bán đất nền KĐT Nam Hòa Xuân sát công viên 50ha, giá ưu đãi 42tr/m2, có sổ đỏ từng lô","Dự án Han River Village (Nam Hòa Xuân), Phường Hòa Quý, Ngũ Hành Sơn, Đà Nẵng",Loại tin đăng: Bán đất nền dự án,125 m²,42 triệu/m²
 SUNNEVA ISLAND - MÓN QUÀ TỪ MẶT TRỜI DÀNH RIÊNG CHO ĐÀ NẴNG - TƯ VẤN DỰ ÁN ĐẢO KIM CƯƠNG,"ĐẢO KIM CƯƠNG, Phường Hòa Xuân, Cẩm Lệ, Đà Nẵng",Loại tin đăng: Bán đất nền dự án,300 m²,Thỏa thuận
" Đất đường Võ Nguyên Giáp và danh sách cập nhật đất xây cao tầng, giá cạnh tranh, 0932560868","Đường Võ Nguyên Giáp, Sơn Trà, Đà Nẵng",Loại tin đăng: Bán đất,600 m²,Thỏa thuận
" Đất nền KĐT Nam Hòa Xuân Tp. Đà Nẵng, giá chỉ từ 40 tr/m2 sổ đỏ lâu dài, xây dựng tự do","Dự án Han River Village (Nam Hòa Xuân), Phường Hòa Quý, Ngũ Hành Sơn, Đà Nẵng",Loại tin đăng: Bán đất nền dự án,100 m²,4.2 tỷ
" 2 lô đất liền kề khu tái định cư Số 4, tuyến đường ĐT 602, xã Hòa Ninh, Huyện Hòa Vang, Đà Nẵng","Đường ĐT 602, Xã Hòa Ninh, Hòa Vang, Đà Nẵng",Loại tin đăng: Bán đất,125 m²,7 tỷ
" Mở bán đất nền ngay thành phố Đà Nẵng chỉ có 1,5 tỷ là sở hữu ngay đất sát sông gần biển","Dự án KĐT Hòa Xuân mở rộng, Phường Hòa Xuân, Cẩm Lệ, Đà Nẵng",Loại tin đăng: Bán đất nền dự án,100 m²,Thỏa thuận
" Bán lô đất biển đường Lê Văn Quý gần Phạm Văn Đồng. Hai mặt tiền. Vỉa hè 4,5m. Sổ đỏ đầy đủ.","Đường Lê Văn Quý, Phường  An Hải Bắc, Sơn Trà, Đà Nẵng",Loại tin đăng: Bán đất,383 m²,Thỏa thuận
" Bán cặp đất biển đường Võ Nguyên Giáp, Sơn Trà, Đà Nẵng mặt tiền 14m, hướng Đông view biển","Đường Võ Nguyên Giáp, Phường Mân Thái, Sơn Trà, Đà Nẵng",Loại tin đăng: Bán đất,329 m²,Thỏa thuận
" Hot SunGroup mở bán đất nền khu Đầm Sen Nam Hòa Xuân, giá gốc từ chủ đầu tư: LH: 0965192772 GĐPKDDA","Dự án Hòa Quý City, Đường Võ Chí Công, Phường Hòa Quý, Ngũ Hành Sơn, Đà Nẵng",Loại tin đăng: Bán đất nền dự án,125 m²,Thỏa thuận
" Cần bán 5 lô đất nền ngay trung tâm Q. Liên Chiểu Đà Nẵng - giá 2 tỷ/lô rất thích hợp đầu tư, an cư","Dự án Dragon City Park, Liên Chiểu, Đà Nẵng",Loại tin đăng: Bán đất nền dự án,100 m²,2 tỷ
" Sun Group - Mở bán phân khu Đầm Sen, chiết khấu cao + tăng 1 chỉ vàng","Đường Minh Mạng, Phường Hòa Quý, Ngũ Hành Sơn, Đà Nẵng",Loại tin đăng: Bán đất nền dự án,100 m²,Thỏa thuận
" BOUTIQUEHOTEL 4,5 TẦNG 99M2 - SỞ HỮU LÂU DÀI TẠI VEN BIỂN - CHỈ 13.8 TỶ - BÀN GIAO QUÝ 3/2022","Dự án Regal Pavillon Đà Nẵng, Phường Hòa Cường Nam, Hải Châu, Đà Nẵng","Loại tin đăng: Bán shophouse, nhà phố thương mại",99 m²,Thỏa thuận
" Bán lô đất DT 106.3m2 tại khu đô thị Phú Mỹ An, Ngũ Hành Sơn. LH: Chính chủ 0917.187.657","Dự án Phú Mỹ An, Đường Vũ Văn Cẩn, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng",Loại tin đăng: Bán đất nền dự án,106.3 m²,4 tỷ
 Chính chủ bán đất 2 mặt tiền đường Bùi Tá Hán và Đoàn Khuê,"Dự án Nam Cầu Tuyên Sơn-Nam Việt Á, Đường Bùi Tá Hán, Phường  Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng",Loại tin đăng: Bán đất nền dự án,300 m²,Thỏa thuận
" Chính chủ, bán đất khu đô thị Hoà Quý, Ngũ Hành Sơn Đà Nẵng, thông đường Minh Mạng thẳng ra biển","Dự án Hòa Quý City, Đường Võ Chí Công, Phường Hòa Quý, Ngũ Hành Sơn, Đà Nẵng",Loại tin đăng: Bán đất nền dự án,120 m²,28.5 triệu/m²
" Bán đất Hoà Xuân mặt tiền đường 7,5m và đường 10,5m lê quảng chí","Đường Lê Quảng Chí, Phường Hòa Xuân, Cẩm Lệ, Đà Nẵng",Loại tin đăng: Bán đất,100 m²,Thỏa thuận
 Bán biệt thự liền kề Marina Complex nội thất đầy đủ view sông Hàn! Lh: 0703334343,"Dự án Marina Complex, Đường Trần Hưng Đạo, Phường Nại Hiên Đông , Sơn Trà, Đà Nẵng","Loại tin đăng: Bán nhà biệt thự, liền kề",144 m²,14.5 tỷ
" MT Trưng Nữ Vương siêu đắc địa ngang 8,4m cách đường 2/9 50m cách Sông Hàn 250m cách Cầu Rồng 350m","200 Đường Trưng Nữ Vương, Quận Hải Châu, Đà Nẵng",Loại tin đăng: Bán đất,170 m²,32 tỷ
" 140m2 ngang 8m4 nở hậu 9m4, đường 5.5m, 2 ô tô tránh nhau, trung tâm thành phố","K196/75 Trần Cao Vân, Thanh Khê, Đà Nẵng",Loại tin đăng: Bán nhà riêng,140 m²,8.7 tỷ
 Bán nhà mặt tiền đường song song với đường 2/9 giáp Tiểu La,"Đường 2/9, Phường Hòa Cường Bắc, Hải Châu, Đà Nẵng",Loại tin đăng: Bán nhà riêng,61 m²,7.1 tỷ
" DUY NHẤT 5 LÔ SUẤT NGOẠI GIAO, GIÁ CỰC TỐT TỪ CĐT, KĐT DRAGON CITY PART, TÂM ĐIỂM ĐẤT NỀN ĐÀ NẴNG","Dự án Dragon City Park, Liên Chiểu, Đà Nẵng",Loại tin đăng: Bán đất nền dự án,150 m²,2.4 tỷ
 Bán lô duy nhất đường 10m5 ngay trung tâm TP Đà Nẵng giá rẻ đầu tư,"Đường Lê Quảng Chí, Phường Hòa Xuân, Cẩm Lệ, Đà Nẵng",Loại tin đăng: Bán đất,100 m²,7.3 tỷ
 Bán nhà khu khu trung tâm biển Mỹ Khê,"Đường Phạm Cự Lượng, Phường An Hải Đông, Sơn Trà, Đà Nẵng",Loại tin đăng: Bán nhà riêng,190 m²,Thỏa thuận
 Cần bán 1 số lô đất đẹp khu vực biển và ven biển Thành phố Đà Nẵng,"Phường  An Hải Bắc, Sơn Trà, Đà Nẵng",Loại tin đăng: Bán đất,205 m²,235 triệu/m²
" ĐẤT NỀN DỰ ÁN DRAGON CITY PARK - ĐÀ NẴNG ,GIÁ TRỰC TIẾP CHỦ ĐẦU TƯ , CHỈ TỪ 2.03 TỶ/LÔ","Dự án Dragon City Park, Liên Chiểu, Đà Nẵng",Loại tin đăng: Bán đất nền dự án,100 m²,2.03 tỷ
" Đất Nam Đà Nẵng, cam kết rẻ nhất thị trường, 10 lô cuối cùng ưu đãi từ chủ đầu tư. LH: 0905789970","Đường Võ Nguyên Giáp, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng",Loại tin đăng: Bán đất,100 m²,2 tỷ
 Cần bán gấp nhà 4 tầng MT Huỳnh Tấn Phát gần Tố Hữu,"Đường Huỳnh Tấn Phát, Phường Khuê Trung, Cẩm Lệ, Đà Nẵng",Loại tin đăng: Bán nhà mặt phố,102 m²,13.9 tỷ
" Sở hữu đất nền tự xây - phân khu Đầm Sen KĐT Nam Hòa Xuân, Tp. Đà Nẵng","Phường Hòa Quý, Ngũ Hành Sơn, Đà Nẵng",Loại tin đăng: Bán đất nền dự án,100 m²,4.1 tỷ
" SunGroup - Mở bán đợt 1 lô đất nền trung tâm Đà Nẵng, chiết khấu bỏng tay lên đến 8%","Dự án Sunneva Island, Đường Minh Mạng, Phường Hòa Quý, Ngũ Hành Sơn, Đà Nẵng",Loại tin đăng: Bán đất nền dự án,100 m²,5 tỷ
" Chỉ với 1,5 tỷ sở hữu đất nền SunGroup ngay trung tâm TP Đà Nẵng cách biển 5km","Dự án Han River Village (Nam Hòa Xuân), Phường Hòa Quý, Ngũ Hành Sơn, Đà Nẵng",Loại tin đăng: Bán đất nền dự án,100 m²,43 triệu/m²
" Bán đất ven biển Nam Đà Nẵng, giá ưu đãi 24tr/m2. LH 0397890911","Đường Võ Nguyên Giáp, Phường Hòa Quý, Ngũ Hành Sơn, Đà Nẵng",Loại tin đăng: Bán đất,220 m²,5.28 tỷ
 Mở bán đất nền khu R3 ven sông Cổ Cò - FPT Đà Nẵng - chiết khấu khủng - tặng vàng,"Dự án FPT City Đà Nẵng, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng",Loại tin đăng: Bán đất nền dự án,102 m²,4 tỷ
" Chính thức nhận booking siêu phẩm Sunneva Island vị trí độc tôn tàng phong tụ thủy, LH: 0388768585","Dự án Sunneva Island, Đường Minh Mạng, Phường Hòa Quý, Ngũ Hành Sơn, Đà Nẵng","Loại tin đăng: Bán nhà biệt thự, liền kề",240 m²,106 triệu/m²
 Mở bán chính thức phân khu Đầm Sen - Nam Hòa Xuân - tập đoàn SunGroup,"Dự án Hòa Quý City, Đường Võ Chí Công, Phường Hòa Quý, Ngũ Hành Sơn, Đà Nẵng",Loại tin đăng: Bán đất nền dự án,100 m²,46 triệu/m²
" Bán đất đường Dương Đình Nghệ, An Hải Bắc, Sơn Trà, Đà Nẵng mặt tiền 10m. Hướng Đông Bắc","Đường Dương Đình Nghệ, Phường  An Hải Bắc, Sơn Trà, Đà Nẵng",Loại tin đăng: Bán đất,175 m²,Thỏa thuận
" Bán 3 căn nhà liền kề vị trí vip nhất khu vực Hoàng Trung Thông, quận Liên Chiểu tiện kinh doanh","Đường Hoàng Trung Thông, Phường Hòa Minh, Liên Chiểu, Đà Nẵng",Loại tin đăng: Bán nhà riêng,300 m²,22 tỷ
 Bán nhà biệt thự Marina Complex view sông Hàn 144m2 nội thất đầy đủ. LH: 0703334343,"Dự án Marina Complex, Đường Trần Hưng Đạo, Phường Nại Hiên Đông , Sơn Trà, Đà Nẵng","Loại tin đăng: Bán nhà biệt thự, liền kề",144 m²,14.5 tỷ
 Nhận booking siêu biệt thự tỷ phú Đà Nẵng - Sunneva Island - Vị trí kim cương đẳng cấp thượng lưu,"Phường Hòa Quý, Ngũ Hành Sơn, Đà Nẵng","Loại tin đăng: Bán nhà biệt thự, liền kề",300 m²,Thỏa thuận
 Lô Đất 2 làn đường rẻ bất ngờ khu Sơn Trà,"Đường Chu Huy Mân, Phường Nại Hiên Đông , Sơn Trà, Đà Nẵng",Loại tin đăng: Bán đất,90 m²,5.2 tỷ
 Cần bán nhà 2 mê kiên cố mặt tiền Đặng Tất,"Phố Đặng Tất, Phường Hòa Khánh Nam, Liên Chiểu, Đà Nẵng",Loại tin đăng: Bán nhà riêng,81 m²,4.6 tỷ
 BÁN ĐẤT TRUNG TÂM THÀNH PHỐ ĐÀ NẴNG CHỈ TỪ 2TỶ2/NỀN LH NGAY SỐ LƯỢNG CÓ HẠN,"Phường Hòa Hiệp Nam, Liên Chiểu, Đà Nẵng",Loại tin đăng: Bán đất nền dự án,100 m²,Thỏa thuận
 Bán siêu phẩm biệt thự trung tâm thành phố - LH: 0932560868,"Đường 30/4, Hải Châu, Đà Nẵng","Loại tin đăng: Bán nhà biệt thự, liền kề",700 m²,Thỏa thuận
 CẦN BÁN GẤP CĂN 2 MẶT TIỀN ĐƯỜNG PHAN CHÂU TRINH ĐÀ NẴNG,"Đường Phan Châu Trinh, Phường  Hải Châu I, Hải Châu, Đà Nẵng",Loại tin đăng: Bán nhà riêng,250 m²,70 tỷ
" MONARCHY 2 PHÒNG NGỦ, DIỆN TÍCH LÊN ĐẾN 85M2 CẦN BÁN - HỖ TRỢ VAY NGÂN HÀNG - LH: 0794904579","Dự án The Monarchy, Sơn Trà, Đà Nẵng",Loại tin đăng: Bán căn hộ chung cư,85 m²,2.65 tỷ
 Đi Định Cư Nước Ngoài- Bán Gấp Nhà 2 Mặt Tiền Trung Tâm Thành Phố Đà Nẵng,"Đường Nguyễn Du, Phường Thạch Thang, Hải Châu, Đà Nẵng",Loại tin đăng: Bán nhà mặt phố,70 m²,18 tỷ
" Bán nhà ngay mặt tiền đường Hoài Thanh, NHS","Đường Hoài Thanh, Phường Mỹ An, Ngũ Hành Sơn, Đà Nẵng",Loại tin đăng: Bán nhà riêng,79.4 m²,6.5 tỷ
" Bán gấp khách sạn 4 sao biển Mỹ Khê, Quận Ngũ Hành Sơn","Đường Nguyễn Văn Thoại, Phường Mỹ An, Ngũ Hành Sơn, Đà Nẵng",Loại tin đăng: Bán nhà mặt phố,294 m²,150 tỷ
" Bán đất mặt tiền đường 2 tháng 9, Quận Hải Châu. DT: 560m2","Đường 2/9, Phường Hòa Cường Bắc, Hải Châu, Đà Nẵng",Loại tin đăng: Bán đất,560 m²,34 tỷ
 Bán gấp lô đất sát Trường Đại học Mỹ Thái Bình Dương giá sập hầm,"Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng",Loại tin đăng: Bán đất,150 m²,2.45 tỷ
" Bán khách sạn 4 sao MT đường Nguyễn Văn Thoại, Q. Ngũ Hành Sơn","Đường Nguyễn Văn Thoại, Phường Mỹ An, Ngũ Hành Sơn, Đà Nẵng",Loại tin đăng: Bán nhà mặt phố,294 m²,135 tỷ
" Duy nhất 1 vài lô giá tốt nhất thị trường, đường 7,5m, DT: 125m2 (5x25m) giá 1,9 tỷ","Dự án Golden Hills City, Phường Hòa Hiệp Nam, Liên Chiểu, Đà Nẵng",Loại tin đăng: Bán đất nền dự án,125 m²,2.1 tỷ
 Bán Biệt Thự 1 Phòng Ngủ dự án Fusion Villa Đà Nẵng,"Dự án Fusion Resort & Villas Da Nang, Ngũ Hành Sơn, Đà Nẵng","Loại tin đăng: Bán nhà biệt thự, liền kề",370 m²,14 tỷ
" Cần bán gấp khách sạn mặt tiền Võ Nguyên Giáp view biển 7,5 tầng, giá thấp nhất thị trường 36 tỷ","Đường Võ Nguyên Giáp, Phường Phước Mỹ, Sơn Trà, Đà Nẵng",Loại tin đăng: Bán nhà mặt phố,140 m²,36 tỷ
" Chính chủ cần bán gấp khách sạn 7 tầng trung tâm phố Hàn cách biển Mỹ Khê 400m, giá 13,5 tỷ","Đường Chính Hữu, Phường Phước Mỹ, Sơn Trà, Đà Nẵng",Loại tin đăng: Bán nhà mặt phố,76.5 m²,13.5 tỷ
 Vốn 1.3 tỷ sở hữu căn hộ cao cấp 2 phòng ngủ ven biển Mỹ Khê - 01 suất ưu đãi CK 14% + 300 triệu,"Dự án The Sang Residence, Đường Phạm Kiệt, Phường  Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng",Loại tin đăng: Bán căn hộ chung cư,105.5 m²,Thỏa thuận
" Lô đất biệt thự 2 MT khu đô thị Nam Việt Á, Đà Nẵng giá chưa đến 45 tr/m2 (rẻ sập sàn)","Dự án Nam Cầu Tuyên Sơn-Nam Việt Á, Đường Nguyễn Lữ, Phường  Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng",Loại tin đăng: Bán đất nền dự án,488.9 m²,25.7 tỷ
" Cần bán nhanh trong tuần 1 cặp đường Nguyễn Xiển, khu bãi tắm Sơn Thuỷ, giá rẻ nhất thị trường","Đường Nguyễn Xiển, Phường  Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng",Loại tin đăng: Bán đất,195 m²,Thỏa thuận
 Giữ chỗ có hoàn lại dự án căn hộ mặt biển ưu tiên người có hộ khẩu Đà Nẵng được chiết khấu ngay 1%,"Dự án Felicia OceanView Apart-Hotel , Ngũ Hành Sơn, Đà Nẵng",Loại tin đăng: Bán căn hộ chung cư,50 m²,59 triệu/m²
 Sở hữu lô đất 2 mặt tiền đường Đoàn Khuê. Giá bán chính chủ hấp dẫn,"Dự án Nam Cầu Tuyên Sơn-Nam Việt Á, Đường Đoàn Khuê, Phường  Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng",Loại tin đăng: Bán đất nền dự án,300 m²,Thỏa thuận
" Bán khách sạn đường Võ Nguyên Giáp khu vực sầm uất nhất Đà Nẵng, lh: 0932560868","Đường Võ Nguyên Giáp, Phường Phước Mỹ, Sơn Trà, Đà Nẵng",Loại tin đăng: Bán nhà mặt phố,595 m²,280 tỷ
 Nhanh tay sở hữu lô góc 2 mặt tiền đẳng cấp. Đường Bùi Tá Hán giao với Khu Nam Việt Á,"Dự án Nam Cầu Tuyên Sơn-Nam Việt Á, Đường Bùi Tá Hán, Phường  Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng",Loại tin đăng: Bán đất nền dự án,300 m²,Thỏa thuận
" Bán đất hai mặt tiền đường Phạm Văn Đồng và Đinh Thị Hòa, DT 563m2 vị trí đẹp - 0932560868","Đường Phạm Văn Đồng, Phường  An Hải Bắc, Sơn Trà, Đà Nẵng",Loại tin đăng: Bán đất,563 m²,Thỏa thuận
" Bán đất Biển Nguyễn Tất Thành, Liên Chiểu, Tp Đà Nẵng, 80m2, Chủ giảm còn 2.25 tỷ","Dự án Asiana Đà Nẵng, Liên Chiểu, Đà Nẵng",Loại tin đăng: Bán đất,80 m²,2.25 tỷ
" Cần bán tòa căn hộ đẹp 10x18,5 xây 4 tầng có 13 căn hộ 1 PN đang full khách","Đường Nước Mặn 1, Phường  Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng",Loại tin đăng: Bán nhà mặt phố,185 m²,14.8 tỷ
" Bán gấp 3 lô đất Trần Hưng Đạo, Sơn Trà đối diện khu phức hợp TM Mornarchy, ngay cổng Euro Villa I","Đường Trần Hưng Đạo, Phường An Hải Tây, Sơn Trà, Đà Nẵng",Loại tin đăng: Bán đất,300 m²,150 triệu/m²
" Chính chủ bán lô đất biển đẹp 2 mặt tiền Đà Nẵng, đối diện bãi tắm Non Nước, các resort 5 sao","Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng",Loại tin đăng: Bán đất,105 m²,Thỏa thuận
